Sex,FFM_Dens,FFM_Skin
Female,42.976,40.044
Female,47.456,43.777
Female,45.682,45.098
Female,43.21,46.607
Female,39.77,38.637
Female,48.856,48.138
Female,41.444,40.611
Female,53.211,51.899
Female,47.444,48.758
Female,50.313,46.848
Female,44.521,43.782
Female,45.828,42.59
Female,53.81,49.437
Female,43.846,41.45
Female,47.525,44.645
Female,47.405,45.241
Female,46.482,42.246
Female,51.408,47.163
Female,35.942,37.349
Female,31.999,31.943
Female,49.785,47.081
Female,54.087,49.497
Female,42.439,42.445
Female,43.442,40.468
Female,39.128,38.169
Female,37.839,37.19
Female,37.583,36.895
Female,41.766,40.818
Female,42.118,41.331
Female,44.158,41.847
Female,47.526,46.42
Female,40.09,40.495
Female,48.39,49.212
Female,42.425,42.279
Female,41.791,40.042
Female,43.07,43.592
Female,37.507,37.615
Female,31.712,30.238
Female,44.929,41.943
Female,41.248,40.14
Female,39.75,40.27
Female,45.919,41.064
Female,38.21,38.567
Female,37.811,33.91
Female,34.278,34.655
Female,47.58,47.842
Female,42.129,42.398
Female,50.09,49.203
Female,45.977,45.064
Female,42.137,40.074
Female,41.931,41.139
Female,51.531,48.846
Female,42.476,40.536
Female,49.266,47.73
Female,49.938,49.223
Female,47.2,44.829
Female,46.387,45.569
Female,49.902,49.236
Female,49.75,47.707
Female,45.489,44.345
Female,47.264,45.269
Female,44.749,40.463
Female,41.026,41.768
Female,42.233,41.433
Female,44.669,43.757
Female,39.713,40.338
Female,38.947,36.914
Female,46.167,47.774
Female,48.794,48.489
Female,37.955,37.607
Female,52.227,50.624
Female,48.76,47.652
Female,47.12,44.356
Female,36.444,38.492
Female,42.797,40.277
Female,53.211,47.987
Female,46.469,40.031
Male,71.197,72.387
Male,63.172,62.286
Male,59.903,57.548
Male,65.026,60.976
Male,66.715,61.079
Male,68.803,71.136
Male,55.101,54.203
Male,48.109,49.449
Male,57.495,56.12
Male,55.258,52.316
Male,57.829,54.821
Male,61.355,60.226
Male,61.475,59.856
Male,60.406,56.729
Male,51.856,51.609
Male,48.222,49.683
Male,65.872,68.639
Male,53.73,52.342
Male,69.304,69.724
Male,59.28,57.803
Male,58.473,58.754
Male,73.528,68.019
Male,61.345,59.589
Male,64.235,59.079
Male,67.665,68.653
Male,51.33,50.13
Male,64.815,62.986
Male,65.472,61.6
Male,71.765,64.705
Male,69.688,66.181
Male,73.28,65.176
Male,68.302,69.071
Male,66.773,63.866
Male,63.51,64.369
Male,50.422,48.753
Male,69.266,64.285
Male,59.513,58.86
Male,57.846,57.821
Male,58.16,55.489
Male,59.944,58.435
Male,53.7,53.089
Male,59.837,58.397
Male,69.728,68.076
Male,50.816,49.082
Male,78.745,78.692
Male,61.693,59.089
Male,56.3,53.234
Male,53.519,53.405
Male,58.431,56.732
Male,51.978,50.742
Male,66.173,63.702
Male,53.653,54.754
Male,52.211,50.34
Male,63.552,62.817
Male,69.229,65.692
Male,55.345,53.767
Male,83.072,80.837
Male,71.579,69.749
Male,54.843,57.257
Male,63.258,62.879
Male,53.429,51.514
Male,56.233,56.866
Male,66.565,63.945
Male,58.916,58.102
Male,62.356,60.194
Male,65.913,64.659
Male,49.98,50.4
Male,67.154,67.598
Male,59.073,59.115
Male,53.789,53.997
Male,61.618,63.74
Male,60.022,58.53
Male,54.264,56.452
Male,71.55,68.464
Female,49.387,51.959
Male,61.309,57.337
Male,52.462,52.934
Male,64.315,60.55
Male,65.124,63.602
