year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,2,7,2054,2040,14,10,2344,26,B6,629,N258JB,JFK,HOU,214,1428,20,40,2013-02-08T01:00:00Z
2013,8,11,1711,1710,1,1940,1927,13,UA,485,N412UA,EWR,DEN,223,1605,17,10,2013-08-11T21:00:00Z
2013,7,13,703,700,3,922,951,-29,B6,23,N709JB,JFK,LAX,293,2475,7,0,2013-07-13T11:00:00Z
2013,4,15,1941,1944,-3,2304,2255,9,UA,768,N558UA,EWR,LAX,344,2454,19,44,2013-04-15T23:00:00Z
2013,4,15,716,720,-4,955,944,11,EV,4137,N11155,EWR,ATL,119,746,7,20,2013-04-15T11:00:00Z
2013,2,5,1550,1550,0,1806,1826,-20,9E,3427,N937XJ,JFK,IND,116,665,15,50,2013-02-05T20:00:00Z
2013,10,7,1209,1215,-6,1415,1405,10,MQ,3616,N506MQ,LGA,MSP,142,1020,12,15,2013-10-07T16:00:00Z
2013,2,13,1713,1715,-2,2011,2040,-29,DL,503,N3764D,JFK,SAN,336,2446,17,15,2013-02-13T22:00:00Z
2013,5,27,954,1000,-6,1150,1134,16,UA,775,N457UA,EWR,ORD,116,719,10,0,2013-05-27T14:00:00Z
2013,10,14,1450,1450,0,1723,1745,-22,UA,370,N422UA,EWR,MCO,121,937,14,50,2013-10-14T18:00:00Z
2013,10,20,724,725,-1,1000,950,10,UA,1444,N54711,EWR,MSY,193,1167,7,25,2013-10-20T11:00:00Z
2013,3,18,1647,1646,1,1828,1825,3,UA,1683,N77430,EWR,CLE,68,404,16,46,2013-03-18T20:00:00Z
2013,1,8,700,700,0,929,920,9,EV,4172,N12567,EWR,SDF,112,642,7,0,2013-01-08T12:00:00Z
2013,10,21,1724,1729,-5,1944,1937,7,EV,3849,N16951,EWR,CVG,113,569,17,29,2013-10-21T21:00:00Z
2013,1,28,1849,1845,4,2137,2221,-44,DL,2190,N374NW,JFK,MIA,150,1089,18,45,2013-01-28T23:00:00Z
2013,4,11,1026,1030,-4,1246,1309,-23,DL,1529,N379DA,JFK,LAS,300,2248,10,30,2013-04-11T14:00:00Z
2013,2,5,1729,1705,24,1910,1905,5,WN,440,N920WN,EWR,STL,135,872,17,5,2013-02-05T22:00:00Z
2013,10,9,627,620,7,732,740,-8,WN,423,N8324A,LGA,MDW,110,725,6,20,2013-10-09T10:00:00Z
2013,9,30,1048,1100,-12,1215,1215,0,US,2144,N951UW,LGA,BOS,36,184,11,0,2013-09-30T15:00:00Z
2013,8,9,757,800,-3,1011,1005,6,DL,2119,N903DE,LGA,MSP,156,1020,8,0,2013-08-09T12:00:00Z
2013,6,8,757,805,-8,1101,1100,1,DL,2395,N374NW,LGA,PBI,164,1035,8,5,2013-06-08T12:00:00Z
2013,3,18,1235,1241,-6,1554,1550,4,UA,749,N445UA,LGA,IAH,219,1416,12,41,2013-03-18T16:00:00Z
2013,1,17,1725,1725,0,2034,2017,17,UA,1109,N12116,EWR,MCO,157,937,17,25,2013-01-17T22:00:00Z
2013,9,6,700,700,0,1004,949,15,B6,683,N709JB,JFK,MCO,137,944,7,0,2013-09-06T11:00:00Z
2013,5,18,536,540,-4,820,840,-20,AA,701,N631AA,JFK,MIA,142,1089,5,40,2013-05-18T09:00:00Z
2013,1,20,1958,1920,38,2341,2251,50,UA,1482,N27421,EWR,SFO,382,2565,19,20,2013-01-21T00:00:00Z
2013,3,7,930,925,5,1231,1205,26,WN,102,N736SA,EWR,DEN,234,1605,9,25,2013-03-07T14:00:00Z
2013,4,29,2039,2018,21,1,2326,35,UA,1241,N39726,EWR,TPA,165,997,20,18,2013-04-30T00:00:00Z
2013,3,29,926,935,-9,1155,1230,-35,VX,251,N847VA,JFK,LAS,312,2248,9,35,2013-03-29T13:00:00Z
2013,10,5,710,715,-5,1014,1010,4,VX,399,N840VA,JFK,LAX,329,2475,7,15,2013-10-05T11:00:00Z
2013,2,28,1907,1910,-3,2153,2232,-39,DL,2159,N381DN,JFK,MCO,143,944,19,10,2013-03-01T00:00:00Z
2013,10,23,855,900,-5,1142,1157,-15,B6,63,N712JB,JFK,SEA,320,2422,9,0,2013-10-23T13:00:00Z
2013,1,22,755,800,-5,1139,1124,15,DL,2143,N352NW,JFK,MIA,172,1089,8,0,2013-01-22T13:00:00Z
2013,4,24,800,800,0,958,959,-1,B6,219,N304JB,JFK,CLT,83,541,8,0,2013-04-24T12:00:00Z
2013,8,9,1219,1200,19,1523,1507,16,UA,580,N508UA,JFK,SFO,334,2586,12,0,2013-08-09T16:00:00Z
2013,11,21,1533,1529,4,1700,1654,6,EV,4580,N14923,EWR,MKE,127,725,15,29,2013-11-21T20:00:00Z
2013,7,27,813,815,-2,1003,1012,-9,EV,4295,N16149,EWR,AVL,91,583,8,15,2013-07-27T12:00:00Z
